"preco","nrQuartos","nrWC","Sala_estar_m2","lote_m2","nrAndares","vista","condicao","piso_m2","arrecadacao_m2","Ano_construcao","Ano_renovacao"
609000,4,4,50,3418,2,0,3,194,0,1985,0
234000,3,4,35,753,1,0,4,91,160,1975,0
561000,3,2,46,630,2,0,3,180,0,1916,1986
469000,2,1,24,396,1,0,3,93,0,1924,2011
329350,2,1,17,602,1,0,3,65,0,1942,1999
488000,5,2,47,450,2,0,4,182,0,1938,0
279900,3,4,37,734,1,1,4,99,160,1962,0
606000,4,4,49,1247,2,0,3,190,0,1987,2000
312000,4,2,30,635,1,0,3,117,0,1950,2013
650000,3,3,38,673,1,1,3,104,157,1940,1996
1135000,4,5,78,729,1,3,3,177,467,1970,2014
325000,4,4,44,554,1,0,3,88,303,1980,0
425000,4,2,35,718,1,0,5,137,0,1967,0
219000,2,1,21,464,1,0,3,81,0,1952,2008
250000,3,1,24,619,1,0,3,95,0,1954,2005
390000,3,4,29,585,1,0,4,113,0,1966,0
475000,6,3,81,10585,2,0,3,312,0,1924,2011
736000,4,4,53,1084,2,0,4,206,0,1988,0
407000,4,3,65,2106,1,1,3,154,367,1958,2004
272000,3,4,38,1243,2,0,3,149,0,1998,2006
362000,3,3,38,1294,1,0,4,103,167,1963,0
535000,3,4,43,910,2,0,3,167,0,1991,0
367500,3,3,33,868,1,0,3,127,0,1961,2004
379900,4,4,35,1044,1,0,4,90,167,1955,2009
520000,3,4,57,4940,2,0,4,221,0,1980,0
175000,3,1,23,633,1,0,3,91,0,1954,2005
460000,2,3,29,84,2,0,3,92,70,2004,0
345000,4,4,54,344,2,0,3,210,0,2007,0
610000,4,3,57,911,1,0,5,142,290,1967,0
563000,4,3,72,1393,2,0,3,216,233,1996,0
612500,4,2,48,450,1,0,3,93,343,1949,2013
218000,3,4,43,692,1,0,3,119,177,1979,2014
404000,4,4,43,965,1,0,3,86,293,1958,2004
860000,4,2,87,2918,2,0,3,337,0,2000,0
136500,3,3,33,772,1,0,3,128,0,1962,2003
313950,3,1,35,547,1,0,4,77,217,1940,2001
575000,3,4,49,585,1,2,3,105,320,1954,2005
1225000,4,3,81,622,2,0,4,205,403,1928,0
280000,3,4,38,1062,1,0,4,147,0,1971,0
515000,3,4,42,645,2,0,3,161,0,1989,0
513000,4,4,46,512,2,0,3,180,0,1996,0
599000,4,3,53,2694,2,0,4,126,287,1977,0
365000,3,3,30,734,1,0,3,118,0,1950,2005
762300,4,4,90,1310,2,0,3,349,0,1987,2000
1580000,4,4,87,983,2,0,5,216,453,1950,0
562000,5,3,71,730,2,0,3,274,0,1984,0
530000,5,4,68,867,1,0,4,152,407,1964,0
484000,2,4,39,540,1,0,3,104,167,1942,1999
360000,4,2,62,1689,1,0,5,241,0,1965,0
387000,3,1,29,861,1,0,5,111,0,1962,0
483500,4,4,64,4116,2,0,3,247,0,1995,0
655500,4,5,79,750,2,0,3,304,0,2000,0
345000,3,1,26,563,1,0,3,100,0,1956,2001
533000,5,5,42,340,2,0,3,126,133,1926,2003
197000,3,4,39,696,1,0,4,95,210,1976,1992
485000,3,2,33,367,2,0,3,128,0,1905,2013
1870000,5,4,105,1366,2,0,3,406,0,1969,2002
295000,3,3,46,720,1,0,4,140,140,1974,0
499000,2,4,27,216,1,0,4,67,143,1903,0
1050000,3,4,51,177,2,0,3,145,197,2008,0
191000,3,3,19,797,1,0,4,72,0,1959,0
5e+05,3,4,34,105,3,0,3,133,0,2006,0
390000,5,6,67,450,1,0,3,118,527,2006,0
979000,3,4,62,364,3,0,3,242,0,2014,0
580000,4,4,83,749,2,0,3,321,0,2013,0
369950,3,2,30,119,3,0,3,114,0,2006,0
1800000,5,5,104,925,2,0,3,354,187,2013,0
776000,4,4,71,578,2,0,3,274,0,2008,0
519950,3,3,27,112,3,0,3,105,0,2014,0
495000,3,1,23,540,1,0,3,89,0,1943,2002
510000,4,4,56,468,2,0,3,219,0,2003,0
1150000,4,4,104,9304,2,0,3,401,0,2001,0
253000,3,4,29,911,1,0,3,113,0,1994,0
503000,3,5,36,608,1,0,5,109,110,1980,0
249000,3,1,26,758,1,0,3,100,0,1952,2008
310000,3,4,43,965,1,0,4,110,207,1974,0
750000,3,5,59,486,1,0,4,122,387,1946,1989
599999,9,6,89,629,3,0,3,221,460,1938,2003
758000,4,5,56,859,1,0,4,160,210,1956,0
248500,4,4,40,902,1,0,5,155,0,1960,0
310000,3,4,48,3411,1,0,4,128,217,1973,0
460000,3,2,41,815,2,0,4,158,0,1985,0
675000,3,4,39,945,1,0,4,151,0,1959,0
560000,3,3,96,5435,2,2,3,286,313,1994,0
415000,4,3,43,859,2,0,3,165,0,1991,0
246000,3,1,33,667,1,0,3,126,0,1944,0
314500,3,4,43,1114,1,0,4,168,0,1957,2001
420000,2,3,24,315,2,0,4,94,0,1904,0
535000,3,4,63,13447,2,0,3,245,0,1988,2000
350000,3,1,23,842,1,0,3,91,0,1981,2013
749950,4,5,60,545,2,0,5,176,213,1949,0
230000,3,4,45,826,2,0,3,173,0,1988,2000
568000,3,2,55,457,2,0,3,160,190,1929,0
581000,4,2,58,1233,1,0,4,115,410,1961,2001
651000,3,4,75,9753,2,0,4,292,0,1991,0
6e+05,3,4,57,9801,1,0,4,167,200,1977,0
5e+05,2,1,23,350,2,0,4,91,0,1906,1990
475000,2,1,19,245,1,0,3,74,0,1921,2000
352000,5,4,56,770,1,2,3,146,267,1978,0
420000,3,3,41,735,2,0,3,159,0,1977,2004
428000,2,2,31,351,1,0,3,122,0,2003,0
599000,3,4,46,431,1,0,4,98,290,1920,0
492000,4,4,77,1455,2,0,5,202,353,1922,1956
630000,2,3,59,510,1,0,3,155,277,2011,0
1110000,4,3,54,1197,1,0,3,170,140,1950,2005
575000,4,2,38,450,1,0,3,149,0,1955,2005
705000,4,4,62,388,2,0,3,137,377,1905,2013
940000,4,3,44,535,1,1,3,132,140,1963,2008
313000,3,4,51,720,1,0,4,197,0,1967,0
618080,3,4,47,585,2,0,3,183,0,1988,2000
640000,3,3,53,466,2,0,3,192,47,2002,0
485000,3,2,37,374,1,0,4,91,200,1917,0
3e+05,2,1,18,270,1,0,3,68,0,1913,1983
339950,3,3,38,1107,2,0,4,147,0,1985,0
1500000,6,4,83,583,3,0,4,320,0,1914,1945
1340000,3,3,69,495,2,2,3,220,173,1937,1990
5e+05,3,4,45,3381,1,0,4,175,0,1987,0
239900,3,2,33,681,1,0,3,127,0,1985,0
314950,3,1,24,1529,1,0,4,94,0,1968,0
361280,2,1,19,576,1,0,4,74,0,1944,0
540000,7,8,86,688,2,1,3,333,0,1948,1984
480500,4,4,51,1008,1,0,4,196,0,1968,0
280000,3,4,37,384,2,0,3,144,0,2000,0
440000,3,4,35,556,1,0,4,95,147,1947,1988
560000,3,2,43,1204,1,0,3,167,0,1985,0
775000,3,2,59,648,2,3,4,144,313,1905,0
209950,3,3,32,1002,1,0,3,124,0,1960,2012
226500,3,4,38,969,1,0,3,102,170,1988,2000
380000,5,4,70,540,1,0,5,135,500,1958,0
409500,4,5,50,1170,1,0,3,119,273,1968,1997
690000,3,2,41,579,1,0,4,88,260,1942,1982
405000,3,3,39,748,1,0,4,149,0,1961,2001
375000,3,4,43,1174,2,0,3,165,0,1990,2009
794154,4,2,51,770,1,1,4,109,333,1954,1979
185000,4,1,35,594,1,0,3,134,0,1969,2010
245000,3,3,29,114,2,0,3,94,73,2005,0
1532500,5,6,99,727,2,0,3,306,290,2007,0
1040000,4,5,91,755,2,0,3,351,0,2006,0
425000,2,4,27,92,3,0,3,104,0,2008,0
495000,4,5,62,1908,2,0,3,239,0,2014,0
365000,5,5,56,450,1,0,3,127,333,2008,0
417250,3,3,37,131,3,0,3,145,0,2009,0
615000,2,1,36,618,1,0,4,74,240,1946,1989
980000,5,4,73,1032,1,0,4,160,460,1971,0
258000,4,4,40,749,1,0,3,111,167,1977,2004
533000,3,1,39,367,1,0,3,105,167,1967,2011
537500,4,4,59,417,2,0,3,230,0,2005,0
830000,5,3,71,864,1,0,5,177,357,1968,0
712000,3,1,29,416,2,0,4,104,33,1900,1971
262000,4,4,47,561,2,0,3,182,0,2002,0
753888,4,4,62,495,2,2,3,239,0,2003,0
402000,3,4,46,720,1,0,4,116,223,1977,0
205000,2,1,17,454,1,0,3,65,0,1955,2005
553650,2,4,32,121,2,0,3,95,103,1997,0
559950,2,2,43,446,1,0,3,168,0,2006,0
260000,4,3,49,792,1,0,3,99,343,1962,2003
270000,4,4,42,586,2,0,3,163,0,1994,0
295000,2,4,51,8037,1,0,3,99,367,1973,2013
719000,3,4,39,405,2,1,4,152,0,1928,0
266000,3,4,45,769,1,0,3,131,160,1989,0
325900,4,4,54,564,2,0,3,209,0,2004,0
647500,4,4,48,2343,1,0,4,104,300,1947,1988
569000,4,3,52,3752,2,0,3,203,0,1980,0
515000,2,1,25,446,1,0,3,95,0,1926,2003
207000,3,1,35,810,1,0,4,134,0,1954,1979
780000,4,4,58,828,1,0,3,125,363,1950,2005
489990,5,3,57,1875,2,0,4,220,0,1975,0
335000,3,3,52,7886,2,0,2,133,253,1980,0
295000,3,4,45,651,2,0,3,173,0,1993,0
358000,2,3,22,163,2,0,3,86,0,1993,0
716500,4,4,76,582,2,0,3,296,0,2002,0
228000,4,4,46,551,1,0,3,99,300,1965,1993
405000,2,1,24,734,1,0,4,92,0,1948,0
538000,4,4,43,864,1,0,3,110,207,1967,2011
1750000,6,3,82,518,3,0,4,316,0,1906,1990
636000,2,4,29,324,2,0,5,111,0,1925,0
1500000,3,4,56,1148,1,2,4,121,363,1952,0
868500,3,4,68,355,3,0,3,263,0,2008,0
530000,4,5,53,257,2,0,4,139,247,1930,0
450000,3,2,35,3920,1,0,3,136,0,1954,2005
230000,3,4,22,540,1,0,3,71,53,1939,1969
229000,3,4,28,270,2,0,3,107,0,2002,0
437000,3,4,30,835,1,0,4,118,0,1976,1992
1307000,5,4,65,288,2,0,5,172,297,1932,2002
595000,3,4,41,302,2,0,4,158,0,1991,0
660000,3,4,31,518,2,0,5,119,0,1918,0
347500,4,4,57,662,2,0,3,221,0,1989,0
297950,3,2,29,972,1,0,3,112,0,1967,2010
245000,3,3,29,717,1,0,4,113,0,1955,2009
543200,6,3,66,1404,2,2,5,177,283,1940,0
1250000,4,4,89,2175,2,1,4,298,170,1990,0
413450,3,4,36,145,3,0,3,132,23,2008,0
424500,3,4,34,693,1,0,3,131,0,1979,2014
230000,3,1,32,1440,1,0,4,125,0,1960,2001
930000,3,4,61,367,2,0,3,166,267,1912,2000
349000,3,4,37,866,1,0,3,143,0,1988,2000
835000,4,2,44,626,2,0,5,172,0,1941,0
988500,3,5,47,1513,2,4,3,181,0,2007,0
5e+05,3,4,33,108,3,0,3,127,0,2012,0
499000,2,3,26,86,2,0,3,84,60,2005,0
321950,2,2,20,115,2,0,3,77,0,2007,0
494000,3,4,54,426,2,0,3,208,0,2011,0
441750,2,3,24,95,3,0,3,92,0,2008,0
438000,2,1,23,106,2,0,3,88,0,2010,0
985000,4,3,98,3399,2,0,3,381,0,1989,0
352000,3,3,38,995,1,0,4,148,0,1972,0
839900,4,5,89,1223,1,1,3,230,417,2013,0
765000,4,5,65,974,2,0,3,251,0,1996,0
460000,4,4,41,495,2,0,5,95,233,1926,0
224500,4,1,33,752,2,0,4,129,0,1983,0
254000,3,4,43,414,2,0,3,167,0,2003,0
255000,2,1,22,2585,1,0,4,86,0,1984,0
610000,3,3,58,4077,1,0,4,146,287,1976,1992
920000,4,3,87,992,2,0,3,338,0,1976,0
402500,4,4,60,1076,2,0,3,234,0,1988,2000
280950,3,4,32,783,1,3,4,76,183,1912,1989
604000,4,4,53,698,2,0,3,203,0,1989,0
565000,4,3,57,670,2,0,3,222,0,1984,0
255000,2,1,19,718,1,0,1,73,0,1928,0
445000,4,2,38,540,1,0,5,90,217,1959,0
2400000,3,3,70,1050,2,4,3,270,0,2001,0
195000,2,1,17,1620,1,0,3,65,0,1950,2005
275000,3,3,32,4343,1,0,3,125,0,1922,2013
387000,3,3,34,145,2,0,3,117,48,2003,0
490000,2,1,43,297,2,0,4,102,237,1910,0
505000,3,4,49,524,2,2,3,189,0,1999,0
303500,3,3,25,942,1,0,4,95,0,1973,0
270000,3,3,35,570,1,0,5,135,0,1953,0
323000,4,5,46,649,1,0,3,105,267,1977,2004
382000,3,4,33,113,3,0,3,127,0,2005,0
1370000,4,5,86,851,1,4,5,176,587,1962,0
280000,4,2,51,1300,1,0,4,106,337,1977,0
260000,3,2,45,727,1,0,4,136,137,1969,0
201500,3,1,27,749,1,0,4,104,0,1959,0
248000,4,3,50,529,2,0,3,195,0,2006,0
532000,5,3,81,5175,1,0,4,211,380,1976,1992
580000,4,4,66,564,2,0,3,256,0,1998,2006
463000,2,1,27,396,1,0,4,104,0,1905,0
742500,4,5,72,340,2,0,3,180,367,1919,1996
260000,3,4,33,1337,1,0,4,92,133,1963,0
312000,4,3,45,671,1,0,3,129,167,1984,0
566000,3,3,39,913,1,0,4,123,97,1980,0
511555,3,2,33,656,1,0,4,126,0,1963,0
583000,4,4,62,360,2,0,3,239,0,2001,0
290000,4,4,46,1197,1,0,4,108,267,1968,0
311100,4,3,49,727,1,0,4,124,250,1977,0
325000,3,3,31,152,3,0,3,122,0,2007,0
315000,5,4,54,729,1,0,4,104,387,1956,0
360000,2,1,33,7370,1,0,3,106,80,1956,2001
330000,4,4,45,341,2,0,3,175,0,2003,0
481450,3,2,33,432,1,0,3,127,0,1940,1996
234950,3,1,32,895,1,0,3,122,0,1977,2004
251000,3,4,28,653,1,0,3,110,0,1962,2003
782000,4,4,66,1831,2,0,3,178,283,1979,2014
833000,4,5,88,928,2,0,3,340,0,1999,0
542500,4,4,54,1286,2,0,4,210,0,1978,2000
851000,3,4,83,9656,2,0,3,320,0,1987,2000
325000,4,3,34,6372,1,0,3,132,0,1976,0
415000,4,3,71,4391,2,0,3,275,0,1992,0
252500,3,1,24,551,1,0,3,79,50,1947,2012
465000,4,4,45,869,1,0,4,174,0,1968,0
336900,3,4,41,10859,1,0,4,160,0,1979,0
225000,3,4,46,828,2,0,4,180,0,1992,0
1702500,5,6,121,2134,2,2,3,305,600,1987,2000
585000,4,4,56,2633,2,0,4,216,0,1982,2011
445000,2,2,27,597,1,0,3,77,97,1940,1996
320000,4,3,54,674,2,0,3,208,0,1980,0
769900,4,5,63,274,2,0,3,216,110,2006,0
557000,4,4,66,405,2,0,3,256,0,2012,0
212000,2,3,24,137,2,0,3,92,0,2004,0
8e+05,4,4,82,14349,2,0,3,319,0,2007,0
324000,3,3,23,81,2,0,3,72,67,2007,0
549900,5,5,71,631,1,0,5,144,487,1979,0
320000,3,4,49,627,2,0,3,192,0,2003,0
875000,4,2,59,540,1,0,3,126,373,1921,2007
394950,3,4,31,113,3,0,3,114,27,2006,0
842500,4,4,50,477,3,0,4,194,0,1902,0
368000,3,4,32,122,2,0,3,91,120,2007,0
1225000,4,6,126,9174,1,0,3,350,510,2001,0
885000,4,4,66,450,2,0,3,255,0,1995,0
453246,3,4,47,206,2,0,3,125,207,2014,0
927000,4,5,77,1088,2,0,3,297,0,1953,0
490000,2,4,29,125,2,0,3,78,120,2004,0
341000,3,3,40,641,2,0,4,155,0,1952,0
235000,1,1,19,221,1,0,5,73,0,1941,0
1200000,3,4,36,727,2,4,4,140,0,1928,0
560000,3,2,59,19510,1,0,3,230,0,1986,0
255000,2,1,28,225,1,0,3,69,150,1910,2006
1575000,5,5,85,1814,1,0,4,212,430,1975,0
876650,3,4,50,1126,2,0,5,149,173,1928,1970
350000,2,1,21,405,2,0,4,82,0,1906,1990
582000,4,4,49,419,1,1,3,107,310,1951,1994
1315000,4,5,80,360,2,0,3,230,300,2004,0
372500,5,3,58,908,1,0,3,117,393,2004,0
410000,3,3,51,1523,2,0,3,198,0,1987,2000
360000,4,2,40,495,1,0,5,91,240,1943,0
1015000,3,4,68,3107,1,4,4,162,373,1954,1983
225000,3,1,23,721,1,0,4,89,0,1966,0
647000,4,4,71,620,2,0,3,274,0,1999,0
185000,3,3,32,762,1,0,4,123,0,1961,2001
335000,3,4,45,443,2,0,3,175,0,2004,0
210000,3,4,24,238,2,0,3,65,107,2004,0
522000,4,3,42,776,1,0,4,122,147,1980,0
770000,3,4,40,450,1,0,3,155,0,1954,2014
499950,3,1,23,574,1,0,3,68,73,1941,1994
751000,4,4,72,553,2,0,3,280,0,2004,0
330000,5,3,49,694,1,0,3,113,283,2013,0
947500,4,3,76,1110,2,0,4,296,0,1968,0
302000,5,3,51,703,2,0,3,196,0,1986,0
5e+05,2,3,30,120,3,0,3,116,0,2007,0
201000,3,1,34,878,1,0,4,131,0,1969,0
265000,2,1,30,255,2,0,3,116,0,2008,0
870300,4,4,55,284,2,0,4,152,220,1910,0
339000,3,1,25,729,1,0,4,97,0,1955,2009
788000,4,4,85,518,2,0,3,256,280,2003,0
315275,3,4,33,724,1,0,3,86,160,1951,1994
505000,4,4,45,432,1,0,5,93,303,1922,1956
368000,3,1,30,891,1,0,3,115,0,1968,1997
947500,3,5,69,2443,2,2,5,196,267,1917,0
156000,3,1,23,772,1,0,3,87,0,1959,1989
610000,4,3,49,450,2,2,4,148,157,1930,0
420000,2,4,34,123,3,0,3,133,0,2009,0
192000,2,1,16,949,1,0,3,63,0,1953,0
910000,3,2,63,551,1,0,4,122,450,1962,0
1300000,4,4,54,872,2,3,3,210,0,1918,0
840000,4,5,60,248,2,0,3,146,327,1936,0
505000,4,4,65,573,1,0,3,143,397,1978,0
110000,3,1,29,4783,1,0,5,113,0,1945,0
746000,3,4,61,806,2,0,3,236,0,1992,0
211000,3,3,31,686,1,0,5,122,0,1941,0
675000,4,3,56,301,1,0,4,108,400,1964,0
734200,4,4,64,450,2,0,5,151,360,1928,1970
1225000,4,3,71,1443,1,3,3,168,400,1976,0
615000,2,4,47,2573,2,3,4,184,0,1919,1990
630000,4,2,41,540,2,0,5,159,0,1911,1981
1264000,4,6,81,825,2,0,3,314,0,2012,0
301500,2,3,19,120,2,0,3,75,0,2005,0
369000,2,4,23,81,2,0,3,60,103,2009,0
1033888,4,4,76,467,2,0,3,280,53,2014,0
383000,4,4,50,560,2,0,3,194,0,2010,0
1050000,4,6,76,990,2,0,3,209,320,2008,0
625000,3,5,42,166,2,0,4,130,123,2009,0
651000,4,4,64,643,2,0,3,247,0,1993,0
480000,5,7,89,3150,1,0,3,192,567,1976,0
757000,3,4,74,475,2,0,3,287,0,2007,0
460000,3,3,55,941,1,0,3,125,320,1977,2004
267345,4,3,58,735,1,0,4,145,300,1972,0
530000,2,2,39,446,1,0,3,151,0,2006,0
449500,3,2,41,595,1,0,4,86,270,1954,1979
289000,3,1,25,658,1,0,5,98,0,1981,0
373000,5,4,70,514,2,0,3,270,0,2006,0
525000,5,3,57,413,2,0,3,221,0,1994,0
777000,3,4,84,5371,2,0,3,220,390,2003,0
550000,4,2,52,675,1,0,5,108,350,1956,0
523000,3,3,29,696,1,0,4,112,0,1957,2001
628000,4,2,53,540,1,0,3,129,277,1958,2004
581000,4,4,49,735,1,0,4,96,340,1963,0
245000,5,4,47,711,1,0,3,110,267,1962,2003
415000,3,4,46,450,1,0,5,88,327,1911,1984
225000,3,3,29,675,1,0,3,113,0,1967,2011
799200,6,3,67,213,3,0,3,206,200,1906,2014
591000,3,4,39,216,1,0,5,78,270,1922,1956
7e+05,3,4,47,756,2,0,4,183,0,1975,0
475000,4,4,87,783,1,0,3,203,493,2004,0
575000,3,4,37,1058,1,0,4,106,133,1951,1999
771000,3,3,41,551,2,0,4,125,130,1927,0
155000,2,1,21,561,1,0,3,82,0,1943,2002
550000,7,4,80,729,2,0,3,310,0,1970,2014
645000,3,4,40,1238,2,0,4,157,0,1975,0
464000,5,4,79,807,1,0,4,153,567,1959,0
1050000,4,4,102,1496,2,0,3,396,0,2003,0
350000,3,4,47,1287,2,0,3,181,0,1977,2004
591000,4,3,63,3436,2,0,4,244,0,1977,0
717000,3,3,30,349,1,0,3,98,73,1956,2001
225000,4,3,45,1130,2,0,3,176,0,1939,1969
